Velocity values extracted from ballistics data (feet per second - fps)

2050, 1450, 1070
2100, 1531, 1133
2525, 1830, 1291
2550, 1902, 1379
2375, 1755, 1274
3000, 2504, 2058
3650, 3077, 2574, 2122, 1721, 1383
4400, 3667, 3046, 2504, 2023, 1604
4225, 3645, 3137, 2685, 2275, 1903
3900, 3482, 3104, 2757, 2435, 2136
2200, 1454, 1026
3070, 2247, 1574, 1117, 918, 802
2665, 2241, 1858, 1523, 1252, 1071
2750, 1974, 1362, 1019, 867, 763
3760, 3148, 2615, 2140, 1719, 1369
3345, 2930, 2553, 2205, 1886, 1599
2810, 2495, 2202, 1929, 1679, 1457
4000, 3353, 2796, 2302, 1861, 1483
3465, 3106, 2776, 2470, 2183, 1916
3250, 2849, 2482, 2144, 1834, 1557
3240, 2690, 2201, 1768
3240, 2802, 2405, 2042, 1713, 1429
3240, 2855, 2502, 2175, 1873, 1602
3100, 2751, 2428, 2127, 1849, 1597
2790, 2563, 2348, 2143, 1949, 1766
2790, 2448, 2131, 1839
2790, 2562, 2345, 2139, 1943, 1759
2930, 2695, 2471, 2259, 2057, 1866
3175, 2781, 2420, 2086, 1781, 1511
3060, 2714, 2394, 2095, 1820, 1571
2910, 2676, 2453, 2242, 2041, 1851
2310, 1695, 1654, 1387, 1179, 1042
3300, 2924, 2578, 2258, 1961, 1690
3000, 2761, 2534, 2319, 2114, 1920
2675, 2513, 2356, 2205, 2060, 1920
4450, 3736, 3128, 2598, 2125, 1706
3800, 3339, 2925, 2548, 2201, 1882
4000, 3517, 3086, 2696, 2337, 2006
3680, 3253, 2868, 2514, 2186, 1884
3680, 3253, 2868, 2514, 2186, 1884
2800, 2623, 2452, 2288, 2130, 1979
2750, 2580, 2417, 2260, 2108, 1963
2750, 2582, 2421, 2265, 2115, 1971
3925, 3465, 3052, 2676, 2330, 2010
3580, 3254, 2953, 2672, 2407, 2158
3200, 2842, 2513, 2206, 1921, 1661
2800, 2574, 2359, 2155, 1961, 1778
3240, 2990, 2754, 2530, 2317, 2114
3150, 2911, 2685, 2469, 2264, 2069
3185, 2908, 2649, 2404, 2172, 1953
2960, 2729, 2509, 2300, 2101, 1912
3235, 2955, 2693, 2445, 2211, 1990
3210, 2962, 2727, 2505, 2292, 2091
3325, 3081, 2851, 2632, 2424, 2225
3050, 2862, 2687, 2514, 2348, 2189
2960, 2782, 2612, 2447, 2289, 2136
2960, 2784, 2615, 2453, 2296, 2144
2425, 2181, 1952, 1738, 1543, 1370
2800, 2542, 2299, 2069, 1853, 1652
2946, 2707, 2480, 2265, 2060, 1866
3350, 2980, 2640, 2324, 2031, 1761
3140, 2929, 2728, 2536, 2351, 2175
2990, 2749, 2521, 2304, 2098, 1902
3110, 2862, 2627, 2405, 2193, 1992
3625, 3230, 2871, 2539, 2230, 1944
3240, 3024, 2819, 2623, 2435, 2255
2580, 2409, 2244, 2086, 1935, 1791
2580, 2410, 2247, 2090, 1940, 1796
2735, 2563, 2397, 2237, 2084, 1937
2930, 2737, 2552, 2375, 2204, 2041
2840, 2674, 2515, 2361, 2212, 2069
3300, 3023, 2764, 2520, 2288, 2068
2925, 2708, 2501, 2303, 2114, 1934
3050, 2826, 2614, 2411, 2217, 2033
2910, 2719, 2535, 2359, 2190, 2028
2820, 2615, 2419, 2232, 2053, 1882
2950, 2756, 2571, 2394, 2223, 2059
2690, 2536, 2388, 2245, 2106, 1972
2710, 2564, 2422, 2285, 2152, 2023
2700, 2556, 2417, 2282, 2151, 2025
2695, 2567, 2443, 2323, 2206, 2092
2975, 2782, 2597, 2420, 2250, 2086
2960, 2808, 2661, 2519, 2381, 2248
2910, 2775, 2645, 2518, 2395, 2275
2935, 2734, 2542, 2358, 2182, 2013
2550, 2227, 1930, 1659, 1421, 1226
2575, 2343, 2123, 1916, 1722, 1544
2460, 2250, 2051, 1863, 1687, 1524
3000, 2648, 2323, 2021, 1744, 1497
3190, 2945, 2714, 2494, 2285, 2085
3200, 2984, 2779, 2583, 2396, 2216
3060, 2852, 2653, 2463, 2281, 2107
2940, 2747, 2563, 2386, 2216, 2053
3090, 2894, 2707, 2528, 2355, 2189
2970, 2796, 2627, 2465, 2308, 2157
3150, 2907, 2678, 2460, 2252, 2054
3100, 2918, 2744, 2576, 2414, 2258
2680, 2456, 2242, 2040, 1848, 1670
2675, 2435, 2207, 1992, 1790, 1604
2910, 2694, 2488, 2291, 2103, 1925
2840, 2608, 2387, 2177, 1978, 1790
2950, 2757, 2572, 2395, 2224, 2061
2770, 2613, 2461, 2315, 2173, 2037
2925, 2763, 2607, 2455, 2309, 2167
2850, 2704, 2562, 2424, 2291, 2162
3150, 2933, 2728, 2531, 2343, 2162
3240, 3033, 2837, 2649, 2469, 2295
3000, 2792, 2593, 2403, 2221, 2047
3035, 2815, 2605, 2405, 2214, 2031
3100, 2915, 2737, 2567, 2403, 2244
2975, 2827, 2682, 2542, 2406, 2274
3030, 2856, 2689, 2527, 2372, 2222
3050, 2839, 2639, 2447, 2263, 2087
3000, 2849, 2702, 2560, 2423, 2290
2700, 2425, 2167, 1926, 1702, 1500
3175, 3017, 2866, 2719, 2578, 2440
3050, 2897, 2749, 2606, 2468, 2333
2000, 1601, 1279, 1067
2285, 2029, 1791, 1575, 1383, 1224
2375, 2094, 1834, 1597
2175, 1932, 1708, 1505
2085, 1811, 1564, 1350
1050, 998, 955, 918
1020, 987, 959
2465, 2183, 1920, 1679
2390, 1959, 1581, 1276
2400, 2151, 1917, 1700
1050, 977, 921, 874
2740, 2499, 2272, 2056, 1852, 1663
2650, 2386, 2137, 1904, 1688, 1492
2660, 2438, 2227, 2027, 1838, 1661
2675, 2389, 2121, 1871, 1642, 1437
2820, 2561, 2316, 2085, 1868, 1667
3000, 2772, 2556, 2350, 2153, 1966
2820, 2601, 2393, 2194, 2005, 1826
2850, 2639, 2438, 2245, 2062, 1887
2700, 2482, 2274, 2076, 1888, 1712
2785, 2499, 2231, 1980
2610, 2412, 2224, 2044, 1872, 1711
2750, 2546, 2352, 2166, 1988, 1820
2700, 2496, 2302, 2116, 1939, 1772
2840, 2636, 2440, 2253, 2074, 1904
2700, 2513, 2333, 2161, 1996, 1839
2700, 2503, 2315, 2134, 1962, 1799
2700, 2530, 2366, 2209, 2057, 1912
2840, 2665, 2496, 2334, 2177, 2027
2600, 2436, 2278, 2125, 1979, 1839
2600, 2443, 2291, 2145, 2004, 1868
2430, 2234, 2047, 1869, 1703, 1548
3000, 2772, 2556, 2350, 2153, 1966
2700, 2412, 2143, 1891, 1660, 1454
2910, 2637, 2381, 2139, 1911, 1700
3080, 2848, 2628, 2418, 2218, 2028
2940, 2728, 2525, 2332, 2147, 1970
2960, 2750, 2550, 2358, 2175, 2000
2710, 2540, 2376, 2218, 2066, 1920
2750, 2588, 2431, 2280, 2134, 1993
2600, 2415, 2238, 2068, 1905, 1752
2700, 2492, 2293, 2103, 1923, 1753
2820, 2630, 2448, 2274, 2106, 1946
2870, 2678, 2494, 2318, 2148, 1986
2950, 2780, 2616, 2458, 2305, 2158
3000, 2834, 2675, 2521, 2372, 2229
2860, 2723, 2589, 2460, 2334, 2212
2810, 2692, 2577, 2465, 2356, 2250
3200, 2988, 2787, 2594, 2410, 2233
2900, 2702, 2513, 2332, 2158, 1992
2820, 2667, 2519, 2375, 2237, 2103
3275, 2988, 2719, 2466, 2227, 2001
3260, 3031, 2815, 2609, 2412, 2223
2960, 2789, 2625, 2467, 2314, 2166
2960, 2788, 2622, 2462, 2308, 2159
2960, 2760, 2568, 2385, 2209, 2040
2960, 2739, 2530, 2329, 2138, 1956
3130, 2926, 2732, 2546, 2368, 2196
2930, 2769, 2615, 2465, 2321, 2181
2860, 2707, 2558, 2414, 2274, 2140
3100, 2893, 2696, 2507, 2326, 2152
2960, 2804, 2652, 2505, 2363, 2225
3000, 2834, 2675, 2521, 2372, 2229
2860, 2723, 2589, 2460, 2334, 2212
2810, 2692, 2577, 2465, 2356, 2250
3200, 2988, 2787, 2594, 2410, 2233
2910, 2766, 2627, 2492, 2361, 2234
3025, 2877, 2735, 2597, 2463, 2332
2350, 2053, 1780, 1535, 1324, 1159
2350, 2040, 1756, 1503, 1290, 1129
2685, 2441, 2211, 1993, 1789, 1601
2410, 2144, 1897, 1669
2500, 2338, 2182, 2032, 1888, 1751
2565, 2365, 2174, 1992, 1820, 1659
2750, 2575, 2408, 2246, 2091, 1942
3030, 2820, 2620, 2429, 2246, 2071
2800, 2615, 2437, 2266, 2102, 1945
2840, 2662, 2491, 2326, 2168, 2016
2810, 2662, 2519, 2831, 2246, 2116
2860, 2722, 2587, 2457, 2331, 2208
2800, 2680, 2562, 2447, 2336, 2227
2745, 2636, 2530, 2426, 2324, 2225
2560, 2294, 2044, 1811, 1597, 1407
2200, 1890, 1612, 1371
2200, 1843, 1529, 1271
1050, 969, 908, 857, 813, 774
2225, 1963, 1722, 1505
2475, 2180, 1906, 1655, 1434, 1248
2910, 2585, 2283, 2001, 1742, 1509
2360, 2155, 1961, 1778, 1608, 1453
2360, 2155, 1961, 1778, 1608, 1453
2600, 2332, 2079, 1844, 1627, 1434
2600, 2372, 2156, 1951, 1759, 1582
2700, 2481, 2272, 2073, 1885, 1708
